Time,Headset.Controller.L.Forward.X,Headset.Controller.L.Forward.Y,Headset.Controller.L.Forward.Z,Headset.Controller.L.Position.X,Headset.Controller.L.Position.Y,Headset.Controller.L.Position.Z,Headset.Controller.L.Up.X,Headset.Controller.L.Up.Y,Headset.Controller.L.Up.Z,Headset.Controller.R.Forward.X,Headset.Controller.R.Forward.Y,Headset.Controller.R.Forward.Z,Headset.Controller.R.Position.X,Headset.Controller.R.Position.Y,Headset.Controller.R.Position.Z,Headset.Controller.R.Up.X,Headset.Controller.R.Up.Y,Headset.Controller.R.Up.Z,Headset.Gaze.X,Headset.Gaze.Y,Headset.Head.Forward.X,Headset.Head.Forward.Y,Headset.Head.Forward.Z,Headset.Head.Position.X,Headset.Head.Position.Y,Headset.Head.Position.Z,Headset.Head.Up.X,Headset.Head.Up.Y,Headset.Head.Up.Z,Headset.HeartRate,Headset.PupilDilation.L,Headset.PupilDilation.R

00:00:22.380,,,,974.161,87.39048,-1437.079,,,,,,,974.161,87.39048,-1437.079,,,,0.1303262,0.01412974,-0.3884062,-0.09080457,0.9170034,973.8226,89.4128,-1436.447,,,,,4.180893,4.420792
00:00:22.391,,,,974.0988,87.39048,-1436.85,,,,,,,974.0988,87.39048,-1436.85,,,,,,-0.3898004,-0.09263471,0.9162284,973.7592,89.4128,-1436.218
00:00:22.402,,,,974.0477,87.39049,-1436.661,,,,,,,974.0477,87.39049,-1436.661,,,,0.1415565,0.01426704,-0.3911158,-0.09539361,0.9153844,973.707,89.41325,-1436.029,,,,,4.191025,4.289017
00:00:22.413,,,,973.9905,87.39049,-1436.453,,,,,,,973.9905,87.39049,-1436.453,,,,0.1403513,0.00927741,-0.3926419,-0.09631311,0.9146345,973.6484,89.41348,-1435.822,,,,,4.236267,4.406464
00:00:22.424,,,,973.9339,87.39049,-1436.251,,,,,,,973.9339,87.39049,-1436.251,,,,0.1493096,0.008438243,-0.3943167,-0.09600785,0.9139457,973.5906,89.41352,-1435.62,,,,,4.247147,4.286728
00:00:22.435,,,,973.8787,87.39048,-1436.054,,,,,,,973.8787,87.39048,-1436.054,,,,0.1248029,0.01095592,-0.3960291,-0.09565876,0.9132417,973.5341,89.41382,-1435.423,,,,,4.246872,4.381195
00:00:22.446,,,,973.8206,87.39049,-1435.849,,,,,,,973.8206,87.39049,-1435.849,,,,0.0964509,0.01393129,-0.3983253,-0.09429668,0.9123843,973.4746,89.41388,-1435.218,,,,,4.194458,4.366272
00:00:22.457,,,,973.7629,87.39049,-1435.647,,,,,,,973.7629,87.39049,-1435.647,,,,0.06237816,0.01922614,-0.4007197,-0.09247463,0.9115219,973.4154,89.41338,-1435.017,,,,,4.17366,4.365601
00:00:22.468,,,,973.7062,87.39049,-1435.449,,,,,,,973.7062,87.39049,-1435.449,,,,0.09225523,0.0175172,-0.4032659,-0.09027777,0.9106188,973.3573,89.41367,-1434.819,,,,,4.190414,4.408051
